preparation,state,nbar_r_max,population
state_1,P1,0,0.820
state_1,P1,200,0.750
state_1,P1,400,0.660
state_1,P1,600,0.655
state_1,P1,800,0.645
state_1,P1,900,0.560
state_1,P1,1000,0.510
state_1,P1,1300,0.520
state_1,P1,1700,0.530
state_1,P1,2200,0.540
state_1,P1,2800,0.550
state_1,P2,0,0.010
state_1,P2,200,0.010
state_1,P2,400,0.011
state_1,P2,600,0.015
state_1,P2,800,0.020
state_1,P2,900,0.020
state_1,P2,1000,0.015
state_1,P2,1300,0.011
state_1,P2,1700,0.010
state_1,P2,2200,0.010
state_1,P2,2800,0.010
state_1,P7,0,0.005
state_1,P7,200,0.006
state_1,P7,400,0.007
state_1,P7,600,0.009
state_1,P7,800,0.012
state_1,P7,900,0.018
state_1,P7,1000,0.025
state_1,P7,1300,0.028
state_1,P7,1700,0.031
state_1,P7,2200,0.038
state_1,P7,2800,0.045
state_1,P8,0,0.004
state_1,P8,200,0.005
state_1,P8,400,0.006
state_1,P8,600,0.006
state_1,P8,800,0.008
state_1,P8,900,0.010
state_1,P8,1000,0.008
state_1,P8,1300,0.007
state_1,P8,1700,0.005
state_1,P8,2200,0.003
state_1,P8,2800,0.003
state_1,P9plus,0,0.002
state_1,P9plus,200,0.004
state_1,P9plus,400,0.008
state_1,P9plus,600,0.012
state_1,P9plus,800,0.020
state_1,P9plus,900,0.030
state_1,P9plus,1000,0.035
state_1,P9plus,1300,0.038
state_1,P9plus,1700,0.040
state_1,P9plus,2200,0.043
state_1,P9plus,2800,0.045
state_7,P1,0,0.000
state_7,P1,200,0.000
state_7,P1,400,0.010
state_7,P1,600,0.015
state_7,P1,800,0.030
state_7,P1,900,0.060
state_7,P1,1000,0.090
state_7,P1,1300,0.085
state_7,P1,1700,0.070
state_7,P1,2200,0.055
state_7,P1,2800,0.050
state_7,P2,0,0.015
state_7,P2,200,0.016
state_7,P2,400,0.017
state_7,P2,600,0.018
state_7,P2,800,0.019
state_7,P2,900,0.020
state_7,P2,1000,0.022
state_7,P2,1300,0.022
state_7,P2,1700,0.023
state_7,P2,2200,0.024
state_7,P2,2800,0.025
state_7,P7,0,0.260
state_7,P7,200,0.200
state_7,P7,400,0.190
state_7,P7,600,0.180
state_7,P7,800,0.170
state_7,P7,900,0.150
state_7,P7,1000,0.130
state_7,P7,1300,0.120
state_7,P7,1700,0.110
state_7,P7,2200,0.110
state_7,P7,2800,0.120
state_7,P8,0,0.010
state_7,P8,200,0.010
state_7,P8,400,0.011
state_7,P8,600,0.012
state_7,P8,800,0.012
state_7,P8,900,0.013
state_7,P8,1000,0.014
state_7,P8,1300,0.015
state_7,P8,1700,0.015
state_7,P8,2200,0.016
state_7,P8,2800,0.017
state_7,P9plus,0,0.000
state_7,P9plus,200,0.000
state_7,P9plus,400,0.030
state_7,P9plus,600,0.080
state_7,P9plus,800,0.120
state_7,P9plus,900,0.140
state_7,P9plus,1000,0.160
state_7,P9plus,1300,0.200
state_7,P9plus,1700,0.220
state_7,P9plus,2200,0.240
state_7,P9plus,2800,0.250
