time_us,data_normalized,fit_normalized
0.0,0.012,0.000
0.3,0.040,0.034
0.6,0.118,0.112
0.9,0.235,0.228
1.2,0.396,0.388
1.5,0.590,0.576
1.8,0.786,0.780
2.0,0.940,0.936
2.2,1.012,1.000
2.5,0.858,0.866
2.8,0.728,0.748
3.2,0.620,0.622
3.6,0.510,0.518
4.0,0.428,0.431
4.5,0.348,0.345
5.0,0.286,0.279
5.5,0.216,0.226
6.0,0.182,0.184
6.5,0.149,0.151
7.0,0.128,0.124
7.5,0.100,0.102
8.0,0.088,0.084
8.5,0.065,0.070
9.0,0.060,0.058
9.5,0.046,0.048
10.0,0.042,0.040
10.5,0.035,0.033
11.0,0.025,0.027
11.5,0.024,0.023
12.0,0.017,0.019
12.4,0.014,0.016
