parameter_j,x_scaled,marker_fidelity,line_fidelity,data_origin
1,0.07,0.96,0.95,synthetic_non_experimental
1,0.10,0.97,0.96,synthetic_non_experimental
1,0.14,0.95,0.95,synthetic_non_experimental
1,0.20,0.94,0.93,synthetic_non_experimental
1,0.30,0.90,0.89,synthetic_non_experimental
1,0.45,0.84,0.84,synthetic_non_experimental
1,0.70,0.78,0.77,synthetic_non_experimental
1,1.10,0.70,0.69,synthetic_non_experimental
1,1.80,0.62,0.61,synthetic_non_experimental
1,3.00,0.55,0.54,synthetic_non_experimental
1,5.00,0.49,0.49,synthetic_non_experimental
1,9.00,0.45,0.44,synthetic_non_experimental
1,18.00,0.41,0.41,synthetic_non_experimental
1,30.00,0.40,0.39,synthetic_non_experimental
2,0.07,0.98,0.97,synthetic_non_experimental
2,0.10,0.98,0.97,synthetic_non_experimental
2,0.14,0.97,0.96,synthetic_non_experimental
2,0.20,0.94,0.93,synthetic_non_experimental
2,0.30,0.86,0.85,synthetic_non_experimental
2,0.45,0.71,0.72,synthetic_non_experimental
2,0.70,0.56,0.56,synthetic_non_experimental
2,1.10,0.43,0.43,synthetic_non_experimental
2,1.80,0.34,0.33,synthetic_non_experimental
2,3.00,0.27,0.26,synthetic_non_experimental
2,5.00,0.22,0.22,synthetic_non_experimental
2,9.00,0.19,0.18,synthetic_non_experimental
2,18.00,0.17,0.16,synthetic_non_experimental
2,30.00,0.16,0.15,synthetic_non_experimental
3,0.07,0.95,0.95,synthetic_non_experimental
3,0.10,0.96,0.95,synthetic_non_experimental
3,0.14,0.95,0.94,synthetic_non_experimental
3,0.20,0.90,0.90,synthetic_non_experimental
3,0.30,0.79,0.80,synthetic_non_experimental
3,0.45,0.60,0.61,synthetic_non_experimental
3,0.70,0.43,0.44,synthetic_non_experimental
3,1.10,0.29,0.30,synthetic_non_experimental
3,1.80,0.20,0.20,synthetic_non_experimental
3,3.00,0.14,0.13,synthetic_non_experimental
3,5.00,0.10,0.09,synthetic_non_experimental
3,9.00,0.07,0.07,synthetic_non_experimental
3,18.00,0.06,0.05,synthetic_non_experimental
3,30.00,0.05,0.05,synthetic_non_experimental
4,0.07,0.92,0.93,synthetic_non_experimental
4,0.10,0.94,0.93,synthetic_non_experimental
4,0.14,0.93,0.92,synthetic_non_experimental
4,0.20,0.87,0.87,synthetic_non_experimental
4,0.30,0.71,0.72,synthetic_non_experimental
4,0.45,0.51,0.51,synthetic_non_experimental
4,0.70,0.32,0.33,synthetic_non_experimental
4,1.10,0.18,0.18,synthetic_non_experimental
4,1.80,0.10,0.10,synthetic_non_experimental
4,3.00,0.055,0.057,synthetic_non_experimental
4,5.00,0.030,0.032,synthetic_non_experimental
4,9.00,0.018,0.019,synthetic_non_experimental
4,18.00,0.012,0.013,synthetic_non_experimental
4,30.00,0.010,0.011,synthetic_non_experimental
8,0.07,0.72,0.73,synthetic_non_experimental
8,0.10,0.78,0.76,synthetic_non_experimental
8,0.14,0.75,0.75,synthetic_non_experimental
8,0.20,0.82,0.76,synthetic_non_experimental
8,0.30,0.58,0.61,synthetic_non_experimental
8,0.45,0.68,0.55,synthetic_non_experimental
8,0.70,0.34,0.35,synthetic_non_experimental
8,1.10,0.11,0.12,synthetic_non_experimental
8,1.80,0.035,0.040,synthetic_non_experimental
8,3.00,0.014,0.017,synthetic_non_experimental
8,5.00,0.008,0.009,synthetic_non_experimental
8,9.00,0.004,0.005,synthetic_non_experimental
8,18.00,0.002,0.003,synthetic_non_experimental
8,30.00,0.001,0.002,synthetic_non_experimental
