iteration_id,fade_rank,series,nbar_r_max,population
iter_01,1,P0,0,0.180
iter_01,1,P0,200,0.310
iter_01,1,P0,400,0.330
iter_01,1,P0,600,0.310
iter_01,1,P0,800,0.270
iter_01,1,P0,900,0.270
iter_01,1,P0,1100,0.260
iter_01,1,P0,1400,0.250
iter_01,1,P0,1800,0.240
iter_01,1,P0,2200,0.210
iter_01,1,P0,2800,0.190
iter_01,1,P1,0,0.690
iter_01,1,P1,200,0.560
iter_01,1,P1,400,0.580
iter_01,1,P1,600,0.550
iter_01,1,P1,800,0.460
iter_01,1,P1,900,0.470
iter_01,1,P1,1100,0.480
iter_01,1,P1,1400,0.480
iter_01,1,P1,1800,0.490
iter_01,1,P1,2200,0.500
iter_01,1,P1,2800,0.510
iter_01,1,P7,0,0.000
iter_01,1,P7,200,0.000
iter_01,1,P7,400,0.010
iter_01,1,P7,600,0.010
iter_01,1,P7,800,0.050
iter_01,1,P7,900,0.050
iter_01,1,P7,1100,0.050
iter_01,1,P7,1400,0.050
iter_01,1,P7,1800,0.060
iter_01,1,P7,2200,0.060
iter_01,1,P7,2800,0.070
iter_02,2,P0,0,0.230
iter_02,2,P0,200,0.350
iter_02,2,P0,400,0.360
iter_02,2,P0,600,0.340
iter_02,2,P0,800,0.290
iter_02,2,P0,900,0.300
iter_02,2,P0,1100,0.290
iter_02,2,P0,1400,0.280
iter_02,2,P0,1800,0.270
iter_02,2,P0,2200,0.240
iter_02,2,P0,2800,0.220
iter_02,2,P1,0,0.750
iter_02,2,P1,200,0.610
iter_02,2,P1,400,0.620
iter_02,2,P1,600,0.600
iter_02,2,P1,800,0.500
iter_02,2,P1,900,0.510
iter_02,2,P1,1100,0.510
iter_02,2,P1,1400,0.510
iter_02,2,P1,1800,0.520
iter_02,2,P1,2200,0.520
iter_02,2,P1,2800,0.530
iter_02,2,P7,0,0.000
iter_02,2,P7,200,0.005
iter_02,2,P7,400,0.006
iter_02,2,P7,600,0.008
iter_02,2,P7,800,0.045
iter_02,2,P7,900,0.048
iter_02,2,P7,1100,0.050
iter_02,2,P7,1400,0.052
iter_02,2,P7,1800,0.055
iter_02,2,P7,2200,0.060
iter_02,2,P7,2800,0.065
iter_03,3,P0,0,0.280
iter_03,3,P0,200,0.400
iter_03,3,P0,400,0.390
iter_03,3,P0,600,0.370
iter_03,3,P0,800,0.310
iter_03,3,P0,900,0.310
iter_03,3,P0,1100,0.300
iter_03,3,P0,1400,0.290
iter_03,3,P0,1800,0.280
iter_03,3,P0,2200,0.250
iter_03,3,P0,2800,0.230
iter_03,3,P1,0,0.800
iter_03,3,P1,200,0.650
iter_03,3,P1,400,0.640
iter_03,3,P1,600,0.630
iter_03,3,P1,800,0.530
iter_03,3,P1,900,0.520
iter_03,3,P1,1100,0.520
iter_03,3,P1,1400,0.520
iter_03,3,P1,1800,0.530
iter_03,3,P1,2200,0.540
iter_03,3,P1,2800,0.540
iter_03,3,P7,0,0.000
iter_03,3,P7,200,0.010
iter_03,3,P7,400,0.015
iter_03,3,P7,600,0.020
iter_03,3,P7,800,0.060
iter_03,3,P7,900,0.060
iter_03,3,P7,1100,0.060
iter_03,3,P7,1400,0.065
iter_03,3,P7,1800,0.070
iter_03,3,P7,2200,0.075
iter_03,3,P7,2800,0.080
iter_04,4,P0,0,0.330
iter_04,4,P0,200,0.440
iter_04,4,P0,400,0.420
iter_04,4,P0,600,0.390
iter_04,4,P0,800,0.330
iter_04,4,P0,900,0.320
iter_04,4,P0,1100,0.310
iter_04,4,P0,1400,0.300
iter_04,4,P0,1800,0.290
iter_04,4,P0,2200,0.270
iter_04,4,P0,2800,0.250
iter_04,4,P1,0,0.840
iter_04,4,P1,200,0.690
iter_04,4,P1,400,0.670
iter_04,4,P1,600,0.650
iter_04,4,P1,800,0.550
iter_04,4,P1,900,0.540
iter_04,4,P1,1100,0.540
iter_04,4,P1,1400,0.540
iter_04,4,P1,1800,0.550
iter_04,4,P1,2200,0.560
iter_04,4,P1,2800,0.560
iter_04,4,P7,0,0.000
iter_04,4,P7,200,0.015
iter_04,4,P7,400,0.020
iter_04,4,P7,600,0.025
iter_04,4,P7,800,0.070
iter_04,4,P7,900,0.070
iter_04,4,P7,1100,0.070
iter_04,4,P7,1400,0.075
iter_04,4,P7,1800,0.080
iter_04,4,P7,2200,0.085
iter_04,4,P7,2800,0.090
