iq_panel,state,point_id,i_mv,q_mv,color_role,point_role
left,0,1,-1.02,-0.72,orange,cluster
left,0,2,-0.92,-0.61,orange,cluster
left,0,3,-0.80,-0.69,orange,cluster
left,0,4,-0.87,-0.82,orange,cluster
left,0,5,-1.08,-0.78,orange,cluster
left,0,6,-0.74,-0.57,orange,cluster
left,1,1,-1.22,0.31,sage,cluster
left,1,2,-1.11,0.43,sage,cluster
left,1,3,-0.99,0.35,sage,cluster
left,1,4,-1.05,0.19,sage,cluster
left,1,5,-1.28,0.22,sage,cluster
left,1,6,-0.93,0.49,sage,cluster
left,2,1,-0.59,0.71,coral,cluster
left,2,2,-0.45,0.82,coral,cluster
left,2,3,-0.30,0.77,coral,cluster
left,2,4,-0.38,0.59,coral,cluster
left,2,5,-0.66,0.61,coral,cluster
left,2,6,-0.25,0.91,coral,cluster
left,3,1,-0.18,0.25,teal,cluster
left,3,2,-0.04,0.39,teal,cluster
left,3,3,0.11,0.30,teal,cluster
left,3,4,0.04,0.14,teal,cluster
left,3,5,-0.25,0.12,teal,cluster
left,3,6,0.17,0.46,teal,cluster
left,background,1,-1.39,0.83,neutral,background
left,background,2,-0.67,0.05,neutral,background
left,background,3,0.31,-0.42,neutral,background
left,background,4,0.40,0.71,neutral,background
middle,3,1,-0.96,-0.56,coral,cluster
middle,3,2,-0.82,-0.44,coral,cluster
middle,3,3,-0.68,-0.52,coral,cluster
middle,3,4,-0.73,-0.69,coral,cluster
middle,3,5,-1.02,-0.68,coral,cluster
middle,3,6,-0.61,-0.37,coral,cluster
middle,4,1,-1.12,0.14,teal,cluster
middle,4,2,-0.98,0.28,teal,cluster
middle,4,3,-0.82,0.19,teal,cluster
middle,4,4,-0.88,0.03,teal,cluster
middle,4,5,-1.18,0.01,teal,cluster
middle,4,6,-0.76,0.35,teal,cluster
middle,5,1,-0.43,0.64,sage,cluster
middle,5,2,-0.27,0.77,sage,cluster
middle,5,3,-0.10,0.69,sage,cluster
middle,5,4,-0.17,0.51,sage,cluster
middle,5,5,-0.49,0.52,sage,cluster
middle,5,6,-0.02,0.84,sage,cluster
middle,6,1,0.01,0.53,orange,cluster
middle,6,2,0.18,0.67,orange,cluster
middle,6,3,0.35,0.58,orange,cluster
middle,6,4,0.28,0.39,orange,cluster
middle,6,5,-0.06,0.38,orange,cluster
middle,6,6,0.43,0.75,orange,cluster
middle,background,1,-1.34,-0.22,neutral,background
middle,background,2,-0.58,0.95,neutral,background
middle,background,3,0.51,-0.05,neutral,background
middle,background,4,0.62,0.91,neutral,background
right,6,1,-0.56,-0.36,sage,cluster
right,6,2,-0.40,-0.22,sage,cluster
right,6,3,-0.22,-0.31,sage,cluster
right,6,4,-0.29,-0.50,sage,cluster
right,6,5,-0.64,-0.51,sage,cluster
right,6,6,-0.13,-0.15,sage,cluster
right,7,1,-1.12,0.01,orange,cluster
right,7,2,-0.94,0.16,orange,cluster
right,7,3,-0.75,0.07,orange,cluster
right,7,4,-0.83,-0.13,orange,cluster
right,7,5,-1.20,-0.15,orange,cluster
right,7,6,-0.65,0.24,orange,cluster
right,background,1,-1.38,0.76,neutral,background
right,background,2,-1.24,-0.82,neutral,background
right,background,3,-0.71,0.91,neutral,background
right,background,4,-0.34,0.57,neutral,background
right,background,5,0.02,0.88,neutral,background
right,background,6,0.19,-0.61,neutral,background
right,background,7,0.43,0.42,neutral,background
right,background,8,0.57,-0.12,neutral,background
right,background,9,0.68,0.73,neutral,background
right,background,10,0.81,-0.48,neutral,background
