drive_case,state,duration_ns,population,color_role,trace_role
case_a,0,0,1.00,ink,dominant
case_a,0,100,0.45,ink,dominant
case_a,0,200,0.06,ink,dominant
case_a,0,300,0.54,ink,dominant
case_a,0,400,0.98,ink,dominant
case_a,0,500,0.50,ink,dominant
case_a,0,600,0.07,ink,dominant
case_a,0,700,0.52,ink,dominant
case_a,0,800,0.96,ink,dominant
case_a,1,0,0.00,coral,minor
case_a,1,100,0.12,coral,minor
case_a,1,200,0.03,coral,minor
case_a,1,300,0.10,coral,minor
case_a,1,400,0.01,coral,minor
case_a,1,500,0.13,coral,minor
case_a,1,600,0.04,coral,minor
case_a,1,700,0.11,coral,minor
case_a,1,800,0.02,coral,minor
case_a,2,0,0.00,coral,dominant
case_a,2,100,0.51,coral,dominant
case_a,2,200,0.91,coral,dominant
case_a,2,300,0.41,coral,dominant
case_a,2,400,0.01,coral,dominant
case_a,2,500,0.42,coral,dominant
case_a,2,600,0.88,coral,dominant
case_a,2,700,0.39,coral,dominant
case_a,2,800,0.02,coral,dominant
case_b,0,0,1.00,ink,dominant
case_b,0,100,0.58,ink,dominant
case_b,0,200,0.08,ink,dominant
case_b,0,300,0.49,ink,dominant
case_b,0,400,0.97,ink,dominant
case_b,0,500,0.53,ink,dominant
case_b,0,600,0.09,ink,dominant
case_b,0,700,0.48,ink,dominant
case_b,0,800,0.95,ink,dominant
case_b,1,0,0.00,teal,minor
case_b,1,100,0.08,teal,minor
case_b,1,200,0.03,teal,minor
case_b,1,300,0.11,teal,minor
case_b,1,400,0.01,teal,minor
case_b,1,500,0.09,teal,minor
case_b,1,600,0.04,teal,minor
case_b,1,700,0.10,teal,minor
case_b,1,800,0.02,teal,minor
case_b,2,0,0.00,teal,minor
case_b,2,100,0.14,teal,minor
case_b,2,200,0.05,teal,minor
case_b,2,300,0.15,teal,minor
case_b,2,400,0.02,teal,minor
case_b,2,500,0.13,teal,minor
case_b,2,600,0.06,teal,minor
case_b,2,700,0.14,teal,minor
case_b,2,800,0.03,teal,minor
case_b,3,0,0.00,teal,minor
case_b,3,100,0.19,teal,minor
case_b,3,200,0.08,teal,minor
case_b,3,300,0.17,teal,minor
case_b,3,400,0.02,teal,minor
case_b,3,500,0.18,teal,minor
case_b,3,600,0.07,teal,minor
case_b,3,700,0.16,teal,minor
case_b,3,800,0.03,teal,minor
case_b,4,0,0.00,teal,dominant
case_b,4,100,0.42,teal,dominant
case_b,4,200,0.86,teal,dominant
case_b,4,300,0.43,teal,dominant
case_b,4,400,0.02,teal,dominant
case_b,4,500,0.39,teal,dominant
case_b,4,600,0.82,teal,dominant
case_b,4,700,0.41,teal,dominant
case_b,4,800,0.04,teal,dominant
case_c,0,0,1.00,ink,dominant
case_c,0,100,0.75,ink,dominant
case_c,0,200,0.32,ink,dominant
case_c,0,300,0.09,ink,dominant
case_c,0,400,0.01,ink,dominant
case_c,0,500,0.09,ink,dominant
case_c,0,600,0.33,ink,dominant
case_c,0,700,0.71,ink,dominant
case_c,0,800,0.96,ink,dominant
case_c,1,0,0.00,sage,minor
case_c,1,100,0.09,sage,minor
case_c,1,200,0.18,sage,minor
case_c,1,300,0.24,sage,minor
case_c,1,400,0.20,sage,minor
case_c,1,500,0.14,sage,minor
case_c,1,600,0.11,sage,minor
case_c,1,700,0.07,sage,minor
case_c,1,800,0.01,sage,minor
case_c,2,0,0.00,sage,minor
case_c,2,100,0.14,sage,minor
case_c,2,200,0.21,sage,minor
case_c,2,300,0.19,sage,minor
case_c,2,400,0.13,sage,minor
case_c,2,500,0.20,sage,minor
case_c,2,600,0.17,sage,minor
case_c,2,700,0.09,sage,minor
case_c,2,800,0.01,sage,minor
case_c,3,0,0.00,sage,minor
case_c,3,100,0.18,sage,minor
case_c,3,200,0.16,sage,minor
case_c,3,300,0.12,sage,minor
case_c,3,400,0.18,sage,minor
case_c,3,500,0.22,sage,minor
case_c,3,600,0.14,sage,minor
case_c,3,700,0.08,sage,minor
case_c,3,800,0.01,sage,minor
case_c,4,0,0.00,sage,minor
case_c,4,100,0.21,sage,minor
case_c,4,200,0.13,sage,minor
case_c,4,300,0.17,sage,minor
case_c,4,400,0.23,sage,minor
case_c,4,500,0.17,sage,minor
case_c,4,600,0.12,sage,minor
case_c,4,700,0.06,sage,minor
case_c,4,800,0.01,sage,minor
case_c,5,0,0.00,sage,minor
case_c,5,100,0.17,sage,minor
case_c,5,200,0.12,sage,minor
case_c,5,300,0.21,sage,minor
case_c,5,400,0.25,sage,minor
case_c,5,500,0.18,sage,minor
case_c,5,600,0.10,sage,minor
case_c,5,700,0.05,sage,minor
case_c,5,800,0.01,sage,minor
case_c,6,0,0.00,sage,minor
case_c,6,100,0.11,sage,minor
case_c,6,200,0.19,sage,minor
case_c,6,300,0.23,sage,minor
case_c,6,400,0.16,sage,minor
case_c,6,500,0.12,sage,minor
case_c,6,600,0.08,sage,minor
case_c,6,700,0.04,sage,minor
case_c,6,800,0.01,sage,minor
case_c,7,0,0.00,sage,dominant
case_c,7,100,0.16,sage,dominant
case_c,7,200,0.52,sage,dominant
case_c,7,300,0.82,sage,dominant
case_c,7,400,0.98,sage,dominant
case_c,7,500,0.81,sage,dominant
case_c,7,600,0.51,sage,dominant
case_c,7,700,0.18,sage,dominant
case_c,7,800,0.01,sage,dominant
