component,duration_ns,expectation_j_units,color_role
Jx,0,0.84,coral
Jx,100,-0.56,coral
Jx,200,-1.93,coral
Jx,300,-0.49,coral
Jx,400,1.19,coral
Jx,500,-0.35,coral
Jx,600,-1.86,coral
Jx,700,-0.53,coral
Jx,800,1.02,coral
Jy,0,1.89,teal
Jy,100,0.74,teal
Jy,200,-1.37,teal
Jy,300,-0.74,teal
Jy,400,1.37,teal
Jy,500,1.93,teal
Jy,600,0.56,teal
Jy,700,-1.54,teal
Jy,800,-1.05,teal
Jz,0,3.50,sage
Jz,100,2.42,sage
Jz,200,0.04,sage
Jz,300,-2.31,sage
Jz,400,-3.47,sage
Jz,500,-2.28,sage
Jz,600,0.00,sage
Jz,700,2.31,sage
Jz,800,3.43,sage
