state,detuning_mhz,magnitude_abs_s11,phase_rad
8,-1.50,4.38,-1.31
8,-1.25,3.78,-1.00
8,-1.00,3.90,-0.91
8,-0.75,4.58,-1.22
8,-0.50,4.76,-1.40
8,-0.25,4.79,-1.46
8,0.00,4.80,-1.48
8,0.25,4.80,-1.49
8,0.50,4.80,-1.49
8,0.75,4.80,-1.49
8,1.00,4.80,-1.49
7,-1.50,4.67,-1.42
7,-1.25,4.12,-1.18
7,-1.00,3.65,-0.96
7,-0.75,4.13,-1.02
7,-0.50,4.67,-1.32
7,-0.25,4.78,-1.44
7,0.00,4.79,-1.48
7,0.25,4.79,-1.49
7,0.50,4.79,-1.49
7,0.75,4.79,-1.49
7,1.00,4.79,-1.49
6,-1.50,4.75,-1.47
6,-1.25,4.46,-1.34
6,-1.00,3.78,-1.05
6,-0.75,3.66,-0.94
6,-0.50,4.39,-1.18
6,-0.25,4.73,-1.39
6,0.00,4.78,-1.46
6,0.25,4.78,-1.48
6,0.50,4.78,-1.49
6,0.75,4.78,-1.49
6,1.00,4.78,-1.49
5,-1.50,4.77,-1.49
5,-1.25,4.68,-1.43
5,-1.00,4.18,-1.24
5,-0.75,3.57,-0.98
5,-0.50,3.93,-1.00
5,-0.25,4.57,-1.27
5,0.00,4.74,-1.42
5,0.25,4.77,-1.47
5,0.50,4.77,-1.48
5,0.75,4.77,-1.49
5,1.00,4.77,-1.49
4,-1.50,4.78,-1.49
4,-1.25,4.74,-1.47
4,-1.00,4.55,-1.36
4,-0.75,3.92,-1.12
4,-0.50,3.45,-0.95
4,-0.25,3.92,-1.07
4,0.00,4.55,-1.31
4,0.25,4.73,-1.44
4,0.50,4.76,-1.48
4,0.75,4.76,-1.49
4,1.00,4.76,-1.49
3,-1.50,4.79,-1.49
3,-1.25,4.77,-1.48
3,-1.00,4.68,-1.43
3,-0.75,4.34,-1.26
3,-0.50,3.62,-1.01
3,-0.25,3.42,-0.96
3,0.00,4.17,-1.16
3,0.25,4.64,-1.37
3,0.50,4.74,-1.46
3,0.75,4.75,-1.48
3,1.00,4.75,-1.49
2,-1.50,4.80,-1.49
2,-1.25,4.78,-1.49
2,-1.00,4.75,-1.47
2,-0.75,4.61,-1.39
2,-0.50,4.18,-1.20
2,-0.25,3.55,-0.98
2,0.00,3.35,-0.96
2,0.25,4.05,-1.14
2,0.50,4.59,-1.34
2,0.75,4.72,-1.45
2,1.00,4.74,-1.48
1,-1.50,4.81,-1.49
1,-1.25,4.80,-1.49
1,-1.00,4.78,-1.48
1,-0.75,4.73,-1.45
1,-0.50,4.51,-1.33
1,-0.25,3.94,-1.09
1,0.00,3.35,-0.95
1,0.25,3.29,-0.98
1,0.50,4.04,-1.19
1,0.75,4.59,-1.38
1,1.00,4.71,-1.46
0,-1.50,4.82,-1.49
0,-1.25,4.81,-1.49
0,-1.00,4.80,-1.49
0,-0.75,4.78,-1.48
0,-0.50,4.73,-1.44
0,-0.25,4.53,-1.34
0,0.00,4.05,-1.14
0,0.25,3.47,-0.97
0,0.50,3.18,-0.96
0,0.75,3.82,-1.15
0,1.00,4.51,-1.36
