branch,source,point_id,n_g,n_r_crit,data_origin
upper_left,simulation,1,0.000,1440,synthetic_non_experimental
upper_left,simulation,2,0.008,1450,synthetic_non_experimental
upper_left,simulation,3,0.016,1470,synthetic_non_experimental
upper_left,simulation,4,0.024,1495,synthetic_non_experimental
upper_left,simulation,5,0.032,1520,synthetic_non_experimental
upper_left,simulation,6,0.040,1550,synthetic_non_experimental
upper_left,simulation,7,0.050,1600,synthetic_non_experimental
upper_left,experiment,1,0.000,1430,synthetic_non_experimental
upper_left,experiment,2,0.008,1462,synthetic_non_experimental
upper_left,experiment,3,0.016,1455,synthetic_non_experimental
upper_left,experiment,4,0.024,1507,synthetic_non_experimental
upper_left,experiment,5,0.032,1510,synthetic_non_experimental
upper_left,experiment,6,0.040,1565,synthetic_non_experimental
upper_left,experiment,7,0.050,1582,synthetic_non_experimental
descending,simulation,1,0.000,1160,synthetic_non_experimental
descending,simulation,2,0.025,1115,synthetic_non_experimental
descending,simulation,3,0.050,1030,synthetic_non_experimental
descending,simulation,4,0.075,980,synthetic_non_experimental
descending,simulation,5,0.100,915,synthetic_non_experimental
descending,simulation,6,0.125,800,synthetic_non_experimental
descending,simulation,7,0.150,710,synthetic_non_experimental
descending,simulation,8,0.175,640,synthetic_non_experimental
descending,simulation,9,0.200,535,synthetic_non_experimental
descending,simulation,10,0.225,445,synthetic_non_experimental
descending,simulation,11,0.250,350,synthetic_non_experimental
descending,experiment,1,0.000,1152,synthetic_non_experimental
descending,experiment,2,0.025,1130,synthetic_non_experimental
descending,experiment,3,0.050,1012,synthetic_non_experimental
descending,experiment,4,0.075,995,synthetic_non_experimental
descending,experiment,5,0.100,900,synthetic_non_experimental
descending,experiment,6,0.125,815,synthetic_non_experimental
descending,experiment,7,0.150,692,synthetic_non_experimental
descending,experiment,8,0.175,655,synthetic_non_experimental
descending,experiment,9,0.200,520,synthetic_non_experimental
descending,experiment,10,0.225,460,synthetic_non_experimental
descending,experiment,11,0.250,365,synthetic_non_experimental
rising_arch,simulation,1,0.015,560,synthetic_non_experimental
rising_arch,simulation,2,0.035,700,synthetic_non_experimental
rising_arch,simulation,3,0.055,850,synthetic_non_experimental
rising_arch,simulation,4,0.075,980,synthetic_non_experimental
rising_arch,simulation,5,0.100,1120,synthetic_non_experimental
rising_arch,simulation,6,0.125,1290,synthetic_non_experimental
rising_arch,simulation,7,0.150,1390,synthetic_non_experimental
rising_arch,simulation,8,0.175,1460,synthetic_non_experimental
rising_arch,simulation,9,0.190,1420,synthetic_non_experimental
rising_arch,simulation,10,0.205,1290,synthetic_non_experimental
rising_arch,simulation,11,0.220,1080,synthetic_non_experimental
rising_arch,experiment,1,0.015,545,synthetic_non_experimental
rising_arch,experiment,2,0.035,725,synthetic_non_experimental
rising_arch,experiment,3,0.055,835,synthetic_non_experimental
rising_arch,experiment,4,0.075,1005,synthetic_non_experimental
rising_arch,experiment,5,0.100,1102,synthetic_non_experimental
rising_arch,experiment,6,0.125,1310,synthetic_non_experimental
rising_arch,experiment,7,0.150,1375,synthetic_non_experimental
rising_arch,experiment,8,0.175,1440,synthetic_non_experimental
rising_arch,experiment,9,0.190,1445,synthetic_non_experimental
rising_arch,experiment,10,0.205,1265,synthetic_non_experimental
rising_arch,experiment,11,0.220,1105,synthetic_non_experimental
middle_loop,simulation,1,0.035,760,synthetic_non_experimental
middle_loop,simulation,2,0.050,860,synthetic_non_experimental
middle_loop,simulation,3,0.065,1000,synthetic_non_experimental
middle_loop,simulation,4,0.080,970,synthetic_non_experimental
middle_loop,simulation,5,0.095,920,synthetic_non_experimental
middle_loop,simulation,6,0.110,865,synthetic_non_experimental
middle_loop,simulation,7,0.125,805,synthetic_non_experimental
middle_loop,simulation,8,0.140,755,synthetic_non_experimental
middle_loop,simulation,9,0.155,720,synthetic_non_experimental
middle_loop,simulation,10,0.170,680,synthetic_non_experimental
middle_loop,experiment,1,0.035,745,synthetic_non_experimental
middle_loop,experiment,2,0.050,880,synthetic_non_experimental
middle_loop,experiment,3,0.065,985,synthetic_non_experimental
middle_loop,experiment,4,0.080,990,synthetic_non_experimental
middle_loop,experiment,5,0.095,905,synthetic_non_experimental
middle_loop,experiment,6,0.110,880,synthetic_non_experimental
middle_loop,experiment,7,0.125,790,synthetic_non_experimental
middle_loop,experiment,8,0.140,770,synthetic_non_experimental
middle_loop,experiment,9,0.155,700,synthetic_non_experimental
middle_loop,experiment,10,0.170,695,synthetic_non_experimental
