outlier_group,point_id,n_g,n_r_crit,data_origin
central_cloud,1,0.055,1180,synthetic_non_experimental
central_cloud,2,0.063,920,synthetic_non_experimental
central_cloud,3,0.071,1080,synthetic_non_experimental
central_cloud,4,0.078,760,synthetic_non_experimental
central_cloud,5,0.086,1200,synthetic_non_experimental
central_cloud,6,0.094,840,synthetic_non_experimental
central_cloud,7,0.102,1010,synthetic_non_experimental
central_cloud,8,0.110,690,synthetic_non_experimental
central_cloud,9,0.118,470,synthetic_non_experimental
central_cloud,10,0.126,620,synthetic_non_experimental
right_cloud,1,0.145,1510,synthetic_non_experimental
right_cloud,2,0.154,1120,synthetic_non_experimental
right_cloud,3,0.163,860,synthetic_non_experimental
right_cloud,4,0.171,1200,synthetic_non_experimental
right_cloud,5,0.179,740,synthetic_non_experimental
right_cloud,6,0.187,1010,synthetic_non_experimental
right_cloud,7,0.196,1370,synthetic_non_experimental
right_cloud,8,0.204,820,synthetic_non_experimental
right_cloud,9,0.213,1160,synthetic_non_experimental
right_cloud,10,0.224,610,synthetic_non_experimental
edge_cloud,1,0.235,920,synthetic_non_experimental
edge_cloud,2,0.242,430,synthetic_non_experimental
edge_cloud,3,0.250,650,synthetic_non_experimental
