panel,source,replicate_id,n_g,p0,data_origin
b,simulation,0,0.000,0.96,synthetic_non_experimental
b,simulation,0,0.020,0.62,synthetic_non_experimental
b,simulation,0,0.040,0.54,synthetic_non_experimental
b,simulation,0,0.060,0.55,synthetic_non_experimental
b,simulation,0,0.080,0.48,synthetic_non_experimental
b,simulation,0,0.100,0.58,synthetic_non_experimental
b,simulation,0,0.120,0.52,synthetic_non_experimental
b,simulation,0,0.130,0.98,synthetic_non_experimental
b,simulation,0,0.150,0.98,synthetic_non_experimental
b,simulation,0,0.175,0.98,synthetic_non_experimental
b,simulation,0,0.195,0.97,synthetic_non_experimental
b,simulation,0,0.205,0.73,synthetic_non_experimental
b,simulation,0,0.215,0.98,synthetic_non_experimental
b,simulation,0,0.250,0.98,synthetic_non_experimental
b,highlight_simulation,0,0.000,0.95,synthetic_non_experimental
b,highlight_simulation,0,0.020,0.64,synthetic_non_experimental
b,highlight_simulation,0,0.040,0.55,synthetic_non_experimental
b,highlight_simulation,0,0.060,0.55,synthetic_non_experimental
b,highlight_simulation,0,0.075,0.42,synthetic_non_experimental
b,highlight_simulation,0,0.085,0.64,synthetic_non_experimental
b,highlight_simulation,0,0.095,0.49,synthetic_non_experimental
b,highlight_simulation,0,0.115,0.50,synthetic_non_experimental
b,highlight_simulation,0,0.125,0.98,synthetic_non_experimental
b,highlight_simulation,0,0.195,0.98,synthetic_non_experimental
b,highlight_simulation,0,0.205,0.72,synthetic_non_experimental
b,highlight_simulation,0,0.215,0.98,synthetic_non_experimental
b,highlight_simulation,0,0.250,0.98,synthetic_non_experimental
b,experiment,1,0.000,0.90,synthetic_non_experimental
b,experiment,1,0.020,0.78,synthetic_non_experimental
b,experiment,1,0.040,0.45,synthetic_non_experimental
b,experiment,1,0.060,0.63,synthetic_non_experimental
b,experiment,1,0.080,0.35,synthetic_non_experimental
b,experiment,1,0.100,0.68,synthetic_non_experimental
b,experiment,1,0.120,0.40,synthetic_non_experimental
b,experiment,1,0.130,0.86,synthetic_non_experimental
b,experiment,1,0.150,0.92,synthetic_non_experimental
b,experiment,1,0.175,0.94,synthetic_non_experimental
b,experiment,1,0.195,0.88,synthetic_non_experimental
b,experiment,1,0.205,0.68,synthetic_non_experimental
b,experiment,1,0.215,0.92,synthetic_non_experimental
b,experiment,1,0.250,0.70,synthetic_non_experimental
b,experiment,2,0.000,0.99,synthetic_non_experimental
b,experiment,2,0.020,0.88,synthetic_non_experimental
b,experiment,2,0.040,0.70,synthetic_non_experimental
b,experiment,2,0.060,0.38,synthetic_non_experimental
b,experiment,2,0.080,0.58,synthetic_non_experimental
b,experiment,2,0.100,0.42,synthetic_non_experimental
b,experiment,2,0.120,0.70,synthetic_non_experimental
b,experiment,2,0.130,0.72,synthetic_non_experimental
b,experiment,2,0.150,0.78,synthetic_non_experimental
b,experiment,2,0.175,0.97,synthetic_non_experimental
b,experiment,2,0.195,0.82,synthetic_non_experimental
b,experiment,2,0.205,0.55,synthetic_non_experimental
b,experiment,2,0.215,0.88,synthetic_non_experimental
b,experiment,2,0.250,0.92,synthetic_non_experimental
c,simulation,0,0.000,0.98,synthetic_non_experimental
c,simulation,0,0.020,0.98,synthetic_non_experimental
c,simulation,0,0.040,0.98,synthetic_non_experimental
c,simulation,0,0.060,0.98,synthetic_non_experimental
c,simulation,0,0.080,0.98,synthetic_non_experimental
c,simulation,0,0.100,0.98,synthetic_non_experimental
c,simulation,0,0.120,0.98,synthetic_non_experimental
c,simulation,0,0.140,0.56,synthetic_non_experimental
c,simulation,0,0.160,0.58,synthetic_non_experimental
c,simulation,0,0.180,0.66,synthetic_non_experimental
c,simulation,0,0.200,0.82,synthetic_non_experimental
c,simulation,0,0.215,0.98,synthetic_non_experimental
c,simulation,0,0.250,0.98,synthetic_non_experimental
c,experiment,1,0.000,0.96,synthetic_non_experimental
c,experiment,1,0.020,0.78,synthetic_non_experimental
c,experiment,1,0.040,0.90,synthetic_non_experimental
c,experiment,1,0.060,0.94,synthetic_non_experimental
c,experiment,1,0.080,0.97,synthetic_non_experimental
c,experiment,1,0.100,0.92,synthetic_non_experimental
c,experiment,1,0.120,0.95,synthetic_non_experimental
c,experiment,1,0.140,0.88,synthetic_non_experimental
c,experiment,1,0.160,0.70,synthetic_non_experimental
c,experiment,1,0.180,0.54,synthetic_non_experimental
c,experiment,1,0.200,0.75,synthetic_non_experimental
c,experiment,1,0.215,0.91,synthetic_non_experimental
c,experiment,1,0.250,0.96,synthetic_non_experimental
c,experiment,2,0.000,0.99,synthetic_non_experimental
c,experiment,2,0.020,0.92,synthetic_non_experimental
c,experiment,2,0.040,0.70,synthetic_non_experimental
c,experiment,2,0.060,0.99,synthetic_non_experimental
c,experiment,2,0.080,0.93,synthetic_non_experimental
c,experiment,2,0.100,0.98,synthetic_non_experimental
c,experiment,2,0.120,0.89,synthetic_non_experimental
c,experiment,2,0.140,0.96,synthetic_non_experimental
c,experiment,2,0.160,0.83,synthetic_non_experimental
c,experiment,2,0.180,0.63,synthetic_non_experimental
c,experiment,2,0.200,0.86,synthetic_non_experimental
c,experiment,2,0.215,0.98,synthetic_non_experimental
c,experiment,2,0.250,0.91,synthetic_non_experimental
